resume_id,job_title,knowledge_entity,similarity_score
4,Computer Programmers,Administration and Management,0.3090472
4,Computer Programmers,Administrative,0.23159304
4,Computer Programmers,Economics and Accounting,0.22355103
4,Computer Programmers,Sales and Marketing,0.26990655
4,Computer Programmers,Customer and Personal Service,0.23224002
4,Computer Programmers,Personnel and Human Resources,0.23838343
4,Computer Programmers,Production and Processing,0.26190615
4,Computer Programmers,Food Production,0.11434272
4,Computer Programmers,Computers and Electronics,0.31370533
4,Computer Programmers,Engineering and Technology,0.25876775
4,Computer Programmers,Design,0.1794551
4,Computer Programmers,Building and Construction,0.14487594
4,Computer Programmers,Mechanical,0.106130734
4,Computer Programmers,Mathematics,0.23087017
4,Computer Programmers,Physics,0.13716972
4,Computer Programmers,Chemistry,0.16706717
4,Computer Programmers,Biology,0.069477364
4,Computer Programmers,Psychology,0.16281092
4,Computer Programmers,Sociology and Anthropology,0.025171354
4,Computer Programmers,Geography,0.15581302
4,Computer Programmers,Medicine and Dentistry,0.115001276
4,Computer Programmers,Therapy and Counseling,0.032088988
4,Computer Programmers,Education and Training,0.31341496
4,Computer Programmers,English Language,0.21409795
4,Computer Programmers,Foreign Language,0.16534518
4,Computer Programmers,Fine Arts,0.031671554
4,Computer Programmers,History and Archeology,-0.047167115
4,Computer Programmers,Philosophy and Theology,0.025923224
4,Computer Programmers,Public Safety and Security,0.09070373
4,Computer Programmers,Law and Government,0.12792277
4,Computer Programmers,Telecommunications,0.1839698
4,Computer Programmers,Communications and Media,0.06582019
4,Computer Programmers,Transportation,0.18392943
4,Computer Systems Engineers/Architects,Administration and Management,0.3090472
4,Computer Systems Engineers/Architects,Administrative,0.23159304
4,Computer Systems Engineers/Architects,Economics and Accounting,0.22355103
4,Computer Systems Engineers/Architects,Sales and Marketing,0.26990655
4,Computer Systems Engineers/Architects,Customer and Personal Service,0.23224002
4,Computer Systems Engineers/Architects,Personnel and Human Resources,0.23838343
4,Computer Systems Engineers/Architects,Production and Processing,0.26190615
4,Computer Systems Engineers/Architects,Food Production,0.11434272
4,Computer Systems Engineers/Architects,Computers and Electronics,0.31370533
4,Computer Systems Engineers/Architects,Engineering and Technology,0.25876775
4,Computer Systems Engineers/Architects,Design,0.1794551
4,Computer Systems Engineers/Architects,Building and Construction,0.14487594
4,Computer Systems Engineers/Architects,Mechanical,0.106130734
4,Computer Systems Engineers/Architects,Mathematics,0.23087017
4,Computer Systems Engineers/Architects,Physics,0.13716972
4,Computer Systems Engineers/Architects,Chemistry,0.16706717
4,Computer Systems Engineers/Architects,Biology,0.069477364
4,Computer Systems Engineers/Architects,Psychology,0.16281092
4,Computer Systems Engineers/Architects,Sociology and Anthropology,0.025171354
4,Computer Systems Engineers/Architects,Geography,0.15581302
4,Computer Systems Engineers/Architects,Medicine and Dentistry,0.115001276
