"Occupation","Occupation_Cluster","Score_Comp_.1","Score_Comp_.2","Score_Comp_.3","Score_Comp_.4","Score_Comp_.5","Score_Comp_.6","Score_Comp_.7","Score_Comp_.8","Score_Comp_.9","Score_Comp_.10","Score_Comp_.11","Score_Comp_.12","Score_Comp_.13","Score_Comp_.14","Score_Comp_.15","Score_Comp_.16","Score_Comp_.17","Score_Comp_.18","Score_Comp_.19","Score_Comp_.20","Score_Comp_.21","Score_Comp_.22","Score_Comp_.23","Score_Comp_.24","Score_Comp_.25","Score_Comp_.26","Score_Comp_.27","Score_Comp_.28","Score_Comp_.29","Score_Comp_.30","Score_Comp_.31","Score_Comp_.32","Score_Comp_.33","Score_Comp_.34","Score_Comp_.35","Score_Comp_.36","Score_Comp_.37","Score_Comp_.38","Score_Comp_.39","Score_Comp_.40","Score_Comp_.41","Score_Comp_.42","Score_Comp_.43","Score_Comp_.44","Score_Comp_.45","Score_Comp_.46","Score_Comp_.47","Score_Comp_.48","Score_Comp_.49","Score_Comp_.50","Score_Comp_.51","Score_Comp_.52","Score_Comp_.53","Score_Comp_.54","Score_Comp_.55","Score_Comp_.56","Score_Comp_.57","Score_Comp_.58","Score_Comp_.59","Score_Comp_.60","Score_Comp_.61","Score_Comp_.62","Score_Comp_.63","Score_Comp_.64","Score_Comp_.65","Score_Comp_.66","Score_Comp_.67","Score_Comp_.68","Score_Comp_.69","Score_Comp_.70","Score_Comp_.71","Score_Comp_.72","Score_Comp_.73","Score_Comp_.74","Score_Comp_.75","Score_Comp_.76","Score_Comp_.77","Score_Comp_.78","Score_Comp_.79","Score_Comp_.80","Score_Comp_.81","Score_Comp_.82","Score_Comp_.83","Score_Comp_.84","Score_Comp_.85","Score_Comp_.86","Score_Comp_.87","Score_Comp_.88","Score_Comp_.89","Score_Comp_.90","Score_Comp_.91","Score_Comp_.92","Score_Comp_.93","Score_Comp_.94","Score_Comp_.95","Score_Comp_.96","Score_Comp_.97","Score_Comp_.98","Score_Comp_.99","Score_Comp_.100","Score_Comp_.101","Score_Comp_.102","Score_Comp_.103","Score_Comp_.104","Score_Comp_.105","Score_Comp_.106","Score_Comp_.107","Score_Comp_.108","Score_Comp_.109","Score_Comp_.110","Score_Comp_.111","Score_Comp_.112","Score_Comp_.113","Score_Comp_.114","Score_Comp_.115","Score_Comp_.116","Score_Comp_.117","Score_Comp_.118","Score_Comp_.119","Score_Comp_.120"
"Accountants","BusGovt",-3.8494792407685,-5.02806826149491,-2.50386319721638,4.06694940933948,2.63297810866112,-3.89132063541071,-0.0988049954508482,-1.23842019390897,-0.897213005978087,0.496171456213032,-0.702981162556013,-0.993242725671468,1.25320782259185,0.817629713486966,0.28547982311581,0.449732235202791,0.758635432258114,-0.193115535863998,-0.546954252950088,-1.44899671576672,0.761149863182959,0.769988417020703,-0.776992445828442,0.831224525491373,0.317073367970987,-0.570060621700841,0.13524304544834,-0.306348795232177,0.46832504161863,-1.10737133572127,-0.175328212189969,0.929575295060609,-0.519501837023194,1.21302082412442,-0.663124619004868,0.236936654591602,0.79267526929085,-0.0616329789511953,0.787165643743481,-0.527928594436369,-0.0738538712172685,0.192917040392426,0.753018516644047,0.35192611347785,-0.097788933159575,-0.234143790777815,-0.0382797178284482,-0.104093309340184,-0.0897820176875745,0.00993331687942132,-0.239985224720929,0.210943329233385,-0.200325579980752,0.0595142711884196,-0.154732300593128,-0.147474002642863,-0.109542881669738,0.346619596492276,-0.479777792700772,0.188438661358312,0.0401938194169686,0.117357839672227,0.355867069060529,0.0848717489455377,0.162366586423536,0.111691383786511,-0.255461102351219,0.265874515187478,-0.0656038771914976,-0.250110747974765,-0.417430178285939,-0.280346612670711,0.0714021380045384,0.157212928419881,0.206441274897097,-0.103943906842729,-0.102782637268197,-0.0418505303254584,-0.204290297075138,-0.0737348829305585,0.0543487658424509,-0.167636679768837,0.031538055885861,-0.206371650717401,0.0271875733931145,-0.0258500734972672,0.0890725663437512,-0.0732672146383758,0.0527220020538593,-0.066278758921286,0.16277174084746,-0.0550444861347134,-0.0702781726140932,-0.181297017292579,-0.214981755517405,-0.165902040151775,0.145726974137525,-0.252721856698267,-0.235287760843475,0.0476858606088061,-0.11911956507614,-0.0194169664162828,0.170852101232783,0.10922015976182,0.0677006861707277,0.261907368555119,-0.00245657942734201,0.0811386150047904,-0.0111351984631259,-0.0268738044421341,-0.109228712689403,-0.146613440435149,0.0846984114816654,-0.0364186651416895,-0.0182846194398859,0.0855421485753115,-0.020104782897918,0.0556644038379715,-0.0247651838522542,-0.0369265874167261
"Actuaries","BusGovt",-2.20861152897552,-4.69191940362846,2.14617087697,2.18802510163861,4.17045533393296,-2.10414997683333,0.835341563818567,-3.61397461433503,-2.10949553386768,-0.414783795322992,0.428408898601391,-0.99076413830237,1.05880039437754,0.114215403065975,-0.227500926024185,-0.778275094487088,-0.135975880327136,-0.131000790789923,-0.0169785869632727,-0.281840715361321,0.793246807178967,-0.0299084386444534,-0.668551578774536,-0.705479242178461,-0.222298871298111,-0.0737891821380204,-0.330237097982823,-0.253340623825077,0.071951489426156,0.0590768982887842,0.0252868477070717,0.387556540246631,0.383700570505337,-0.20023748734868,-0.444215787500298,-0.0268525745458125,-0.842874702700299,0.285344211162701,0.200550927519008,0.0590668440291161,-0.00134344355019312,0.184263878146395,-0.701165540914307,-0.224751422750873,-0.0557843322263566,0.404113344259938,0.0428594504455178,0.0227216320912493,-0.155701403981577,-0.142518717093071,0.387978434816319,0.46650210483355,0.662972540497782,0.223921222509441,0.473735416895976,0.36122046001371,-0.16682375104787,0.060334736249728,-0.0915371169041962,-0.213920165524632,0.0827236308958318,0.00256677732459035,-0.134985931101908,0.139383864260493,0.350257962548609,-0.0805883115573983,-0.174014204127733,-0.0893537264845594,0.0509865672956148,-0.0354813377016561,0.32260452798822,-0.306634337110935,-0.155231633661907,0.0306502246346134,-0.292144449470215,0.383856153955493,-0.0938929806826374,-0.0526135041046046,0.00907973263289021,0.5068666097242,-0.206920534071932,-0.0367061813351458,0.0883382940462882,-0.221198583617608,-0.0743634988851581,0.104622821485266,-0.0609307935298128,0.146091957693881,0.0916392322921575,-0.152396417183965,0.258747860425514,-0.00808265837629992,0.105101420561,-0.0224389179214994,-0.00488958325881219,-0.297111907963804,0.0133164567083716,0.195826886621492,0.0387878887908898,0.137525876180404,0.211446586888361,0.126973577662045,-0.258975933349318,0.0324559041579462,-0.0215239457181423,-0.0318799595151427,0.0836353165669543,0.00746290196542149,-0.0777169123156116,0.0340419308491633,0.0979535630411978,0.0697613217536045,-0.0897367624945524,-0.0667454091214489,0.157577299944259,0.00783662618583939,0.102988624614949,-0.1916034526159,-0.0117754195266362,0.0737485555094823
"Acupuncturists","AltThrpy",-2.88635368016495,6.64893219942818,-2.37809868294027,1.31054536281528,0.46217523007975,-0.366125043461487,0.93835173121024,2.91973437227401,-1.27221134953888,-0.759915435694672,1.38387261369621,-0.144917447135841,1.38576026762586,1.15081382822646,-0.71346937899005,-0.0435820203671085,-0.751823658661524,-0.030347097098108,0.381101888117949,1.20999415515991,-0.404468131997929,1.00773498556536,0.317365205165458,0.775732186590756,-1.16064101163246,0.361957593977157,-0.648080022300408,0.467720044443826,0.0473883760354882,0.366303614123386,0.560108112485934,-0.466056270916287,-0.01121401319149,0.857885073430531,0.845564236664298,0.53021379202307,0.241127190792287,-0.320675052951044,-0.913325360596762,0.120378659516939,0.175263306450614,0.267502492562728,0.183160191598408,-0.348148963314942,-0.374664033231573,0.402292726331766,0.429364445683784,0.00577501804946553,0.129218051479159,-0.0306311338347602,0.059203759983067,0.567330030623567,-0.482503762261296,0.0808490679961107,0.0464400080719928,0.091372075688164,-0.361554046840075,-0.373405398207954,-0.25683806842868,-0.223512223506026,-0.236432842810165,-0.0449385066197552,0.327163761263228,0.398763124119197,-0.148049761051506,-0.439626773358505,-0.13025418743865,-0.00434765104528232,0.0395723646037466,0.0176577066642252,0.18588486997526,-0.239870898790112,-0.0729955428015721,-0.157140004202466,-0.129227858629875,0.366653921167438,0.256248237544409,-0.307249925549392,-0.462998291773406,0.245250992134994,-0.0632274574794467,0.156255600056842,0.128723417156305,-0.0668858312121677,0.266144833329191,0.244565282754927,0.0728563987205265,0.223617089086906,-0.0048524365306921,0.125122272333513,-0.358382745188803,0.15166599770585,0.0371879017751036,-0.200425226554973,0.177365881108931,0.257725504898816,0.189755357472423,-0.288771828665674,-0.0116479206699102,0.15399810484053,0.00628034032997411,-0.14480827708632,0.275446857416952,-0.126208883415381,-0.0159925835583734,-0.210090834258347,-0.0758026063970636,0.258366776933717,-0.0866469081508627,-0.230590055617712,-0.138707142421728,-0.134693570606509,0.00191271240838091,0.114125057051279,0.0220465699609455,-0.00699899648549901,0.166011995544484,0.0101729920784476,0.0499336907361669,0.0279194776417637
"Adapted Physical Education Specialists","AltThrpy",-2.08888822252597,6.62702610520641,-4.5374924251148,-0.846763847417522,-1.79471432713232,0.863435705723731,-1.92019935022084,-0.427936275770703,-2.32960036550215,1.47999060287787,0.74172593845685,1.22908429095935,1.56116390627365,-1.18685119158385,1.01867737047455,-0.480137946461008,-0.879480854595602,-0.217593440727987,0.733392673906428,0.145623776861712,0.058578880558596,-0.783462879370234,-0.0846801723385607,0.576609002197101,-1.31425777456214,-0.933334559939571,-0.235329406388564,-0.68312150795198,-0.2530170468511,-0.34061037021465,-0.715153569668221,0.248401401702193,0.610654404815206,-0.50324527471181,-0.768263174339036,-0.419223943883759,0.334624172979235,0.134172772265906,0.0970873616094133,-0.444470888905269,-0.140454650279226,0.399491960164058,-0.383034837798158,0.167292006576688,-0.297879758005281,-0.152848554276444,-0.0476582466084315,0.296117195856362,-0.194269513968831,0.0563303506278663,0.44157995846942,-0.0614477962614061,-0.283223364375616,-0.362909046746494,0.115694221457407,-0.0574325863569717,0.448030257670128,0.27170666107227,-0.386698222492947,0.0702474287782784,-0.205564747380154,0.113455455339087,0.271916145558336,-0.254393195911637,0.229394747019418,0.05371027470061,0.315200609154135,-0.0660992284675485,0.22371916069199,0.316849052425366,-0.0444549474473887,-0.100238822531253,-0.236050512280887,-0.176190221156017,-0.045240063969597,-0.482791774769838,-0.257672707214172,-0.136223466403807,-0.445635345886964,-0.182443169311872,0.36368345160052,0.112432651563248,0.398568847851194,0.0654692108293125,-0.0540026895922335,-0.110110365117926,0.0532290007436541,-0.0347400248322628,0.143980924990688,0.138562418476563,-0.28055781795609,-0.444866392137991,-0.142253215900783,-0.0760908406784572,-0.168639536311512,0.295798487092738,0.0545605579470919,-0.12673571051867,0.201224654605995,-0.0717811446126779,0.154631668362765,0.21907901193834,-0.185615167675732,0.258202474924332,-0.102873471478398,-0.129454063158242,0.127545683508892,-0.119562016725773,-0.0834730971605535,0.0403151649193462,-0.0724464816378702,-0.066599488506155,0.221634781987032,0.0494606174676995,0.0543821198383727,-0.00358977157148087,0.0467140494503751,0.0444994937561656,0.133926755256865,0.104150322641694
"Administrative Law Judges, Adjudicators, and Hearing Officers","SocSci",-5.27782237483366,-0.548666361535585,0.522054661934186,2.03512083444234,0.733944129593505,-1.1722610120249,-1.68140743639693,0.287072744763603,1.12011843512533,-0.290216021568781,-2.4646562506813,-1.82743527485788,0.849674499807034,-0.726416965817034,2.11248508714208,-0.794297549395951,-1.04746576248665,-0.232340139234211,-0.823494527069105,0.244111329830096,-0.821567392987465,-0.788313358524162,-0.302753284229056,0.238615610801292,0.606816504596483,0.118990714181567,-0.844098475536606,-0.254479251747757,-0.582262674856441,-0.142338994846957,-0.9171132939434,-0.282027481312473,-0.128727609771966,-0.618152884940235,-0.170677976588613,-1.35409044762921,-0.190795441538381,0.170254124636264,-0.393132040513372,-0.288757160719642,0.449075298122687,0.359294516652293,-0.390586888967941,-0.183993632525892,0.383963067651359,0.756180556504742,0.119286242976756,0.47219503655649,0.134320562184636,-0.0185317887259759,0.158381108402564,-0.00923231133113788,0.26115268018898,0.0482778648697733,-0.213698491086149,-0.561353113349523,0.136986606376039,0.168176746911425,-0.10234522663536,0.0650007956261301,-0.604813961932338,-0.238340930240987,-0.147209981402014,0.096843887062798,0.152307026645012,-0.357792110682804,-0.0352712184832705,-0.0313812146788371,0.154378609204486,0.173387874617614,0.154132043663209,-0.073901005203796,0.248435979069366,0.0143605334549415,0.122788152974708,0.3272635161368,-0.192430423286841,-0.11036055788115,0.186444361296048,-0.000826655892913499,0.31443884852713,-0.0750072377171706,-0.246185740557414,-0.046868121629349,0.442330850854417,-0.311056608700979,0.122814289147383,-0.288423735000653,-0.261724660416617,-0.125558465731342,0.247898062877681,-0.0570212218004843,-0.0500740709562292,0.191826471477936,0.0752352390551504,0.0164402706120944,0.0921330984757469,-0.0798913083097255,0.0578178267745414,0.0893884005757723,0.129025304467508,-0.17773758013524,0.256491535031133,-0.191260951279483,-0.0554319993931508,0.0727064897921961,-0.0684680606972015,-0.190833354390024,-0.169171232752045,-0.0570541012284982,-0.187503711943533,-0.153103006363351,-0.0547483660400247,-0.141858749774174,0.028458439597122,0.0901920560812979,0.0269292421848197,0.112098227487425,0.0560699159395026,-0.0457885747933242
"Adult Basic and Secondary Education and Literacy Teachers and Instructors","SocSci",-7.67089679868389,-1.24336399380065,-1.2144937542377,1.67609513238178,-3.12029100857981,-0.659478251679655,-1.37199863563601,0.268138259051341,0.134671850535852,0.11928162959819,-1.02483249729816,0.942284915361848,0.00890717415988139,-0.27646204621097,-1.79267697427692,0.92159110308309,0.445260191623046,1.21850792964079,1.30808688919701,0.106711077961523,-0.105521079202592,-0.362234024722803,-0.493032548915588,-0.467194157095614,0.676330498003287,-0.931196153290395,-0.433389671958621,-0.296139021401576,-0.228080626513036,0.134545127014583,0.116237819329672,0.0279255571722863,-0.406858186435489,0.119746176366646,0.69209657347885,0.146753779711106,0.385917545313953,-0.283844684455547,0.69212122051425,0.714583395207762,-0.185234463088119,-0.288034056263357,0.210319766168153,-0.168145815452688,0.0399654599632995,-0.166433030699248,0.0831682448361446,-0.383734042914434,0.594349833359403,0.153325156153008,-0.240005410869665,-0.188123052669361,-0.39142419691615,-0.388886039828652,0.0187096138229662,-0.571025984281948,0.103603026705357,-0.0586383798753518,0.120657722979087,0.363450193844712,0.580503332360955,0.223985222786385,-0.733117950023829,-0.408764586910062,-0.0993797958632744,-0.443822522290976,-0.41983417700828,0.202672485781642,-0.155293736197692,0.0717062262449654,-0.391969351788595,0.0282854294580345,-0.111063001616006,0.127756739153049,0.0576568870794504,-0.180551706709174,0.0865329959026453,0.155793185539662,-0.00139810980349705,-0.0137478602578673,0.36820998133933,0.112499482897132,-0.184809219352658,0.0236990429363067,0.0127713907446406,-0.00666784009224565,-0.0344464115337655,-0.0768957142305999,-0.183636831289336,-0.218779565606356,0.0183322296374707,0.0808990142375395,0.0846341755882003,-0.0106538537491386,0.107807115387333,-0.100353321289296,0.130776178593825,-0.0818272697034138,0.0530641672633722,0.189550371044817,-0.00332605485111866,-0.0893479742961726,-0.0715525575789098,-0.141489652427225,-0.199619879053428,-0.0593141159096146,-0.109359657749432,-0.0048844023014311,-0.0341706750923749,0.0468216451346508,0.0146470244766123,-0.0833298600662248,0.0845792004753457,-0.0970012864845903,-0.0265657912356152,-0.00373572575978556,0.0517731692091196,0.0310646261235716,-0.0314733202347849,0.0386740903931558
"Advanced Practice Psychiatric Nurses","MedGen",-5.3962424438699,6.79827961770739,2.3144159205396,-0.594222005297932,1.22535461792512,0.344816859124317,-2.32009577726253,1.64333175237054,-0.457303201943269,-0.0412272975651791,0.0587641965265007,0.900230438489846,0.601547431392486,-0.600628188489319,-2.09777646080271,0.473410143084277,-1.01415540766481,-0.319284263302125,-1.05447743622591,-0.924260674272705,0.830960406332877,-0.576405244598517,1.7453651594371,-0.203504974963713,-0.244517201001525,0.0385516427451676,0.164821349494652,-0.425977457166124,0.0333938922378138,-0.185334764187457,0.0552528780489862,0.0852844649373206,1.51155921021983,0.642900164194147,0.0819072125590178,-0.814522166415672,-0.484991140578346,-0.574761742537734,-0.0482503732197365,0.720669303962928,-0.338778430267593,0.191484276167928,-0.630812551782957,-0.253676887390154,0.280217590509849,-0.393630195038007,-0.298538378850688,-0.0818742832611159,0.092443204045734,0.145533936993214,0.187102448222284,-0.702327370518712,-0.152641637460843,-0.0261376467854007,-0.339083486167247,-0.140447828148366,-0.275419514418791,-0.185146014287857,-0.491507806143791,0.034689189892978,-0.144887662332046,0.0473458173247946,0.0329443884427572,-0.201738195010442,-0.214720542136926,-0.0554983170333603,0.120611017813467,0.0985258352521048,-0.0959404207879801,0.24343946356689,0.267409268438738,0.457231446214588,-0.108028838378417,0.298586611038772,-0.0136074181304295,-0.170950518526942,0.165367811620483,0.0565864323346533,-0.0809603721904674,0.100385675622509,-0.0198120668576174,-0.230535791381974,-0.287241542573026,0.220145525166536,-0.353903362662392,0.0876393047194809,0.116927874657831,-0.00061195041061199,0.161731078886954,-0.181860985790483,-0.0832452248133678,-0.182237194046388,0.00928663950693645,-0.186438428967335,0.110890481227002,-0.250650601421984,-0.10463077156861,-0.147563304190065,-0.0226821353330462,0.0382257150293241,-0.0233632899858539,-0.00503601985752027,0.0128420892715301,-0.226207849974396,0.0417753771201183,0.0661503927565104,0.0146605224399713,-0.000155433294077963,0.186325591156893,-0.121489133529711,0.182313682252457,0.0561892971572448,0.0428972534534612,-0.0756152588528314,-0.0191023794285187,0.0673738401754712,0.00685803262778006,-0.0315759457078117,-0.000326646043875502,0.0133485016441207
"Advertising and Promotions Managers","SalesLog",-3.78094808929299,-3.60869332825828,-0.371324198476656,-2.30651557381506,2.72193623889835,1.24025818545274,2.87262834520929,-0.0671115002860974,-0.583621673761135,0.386819046440762,0.073623982237335,0.219548737579213,-1.49360785135474,-0.0904162114336017,0.157734672147409,0.131733242628543,-0.325628951983827,0.486728286788607,-0.997302866926472,-0.799201694115381,-0.794247428271467,0.754614964812039,1.0644743559809,-0.606991686435145,0.0551464478606854,-0.333160673253532,0.18090571169281,-0.414197827143001,0.54495784382261,0.640926215877686,-0.23666146720013,0.339123991027498,-0.0591676755501756,0.671996635076928,-0.12747226216148,0.594924172916636,-0.277844190718239,-0.133057041209511,0.214633759417267,-0.151979458967225,-0.196983855251453,0.151088043709223,0.158443413997017,-0.233662733699931,-0.306573526872847,0.484502302899586,0.38274820573824,-0.180359367868164,-0.165549684973394,0.189635976691431,-0.125176365729546,-0.189906933230668,0.173810770977602,0.266835070209719,0.0841125185777092,0.121910603116744,-0.224606452248761,0.0410965705829347,-0.0583393814090599,0.474607278075953,-0.496664562072332,-0.261746633154557,-0.110099563851712,-0.0669753848631218,-0.103664169325327,-0.311452036233271,0.124235907582245,-0.517015735887561,0.191513333914205,-0.0814390934541695,0.207276702614495,0.125769776894715,-0.00252867762626902,0.0477521146397915,0.0274941927051244,0.0760307969118273,-0.00496066600035916,0.0235795423660991,0.02960556582288,0.0134501732297838,0.26798742713678,-0.0563662536039817,0.151269010874058,0.0815449353015313,0.0603012241795159,0.155462061103606,0.10008735022127,-0.212462844518968,0.0987474603416417,-0.197762279661292,-0.114478143582004,-0.0292701881209036,-0.0902702949065714,0.198506316831533,0.0622787775101553,-0.0357802827685629,-0.0234233613355822,-0.211977102722944,0.146921676027038,-0.273275679210975,-0.101828646272576,-0.23421634129876,0.0728777265768117,-0.0513256653680504,-0.19556036578503,-0.263172368255199,0.314082250132068,-0.0934495041239049,0.0110134228824893,-0.163760164496801,0.0602809814227671,-0.0866692188980373,0.0744835985093704,-0.177841518155909,0.0646990678037871,-0.0183011829074607,-0.0348091808264785,0.0326941435689582,-0.0207643375730604,0.0295472508754913
"Advertising Sales Agents","BusGovt",-3.17098846025111,-3.9251563155586,-3.7374422336975,-0.556072759866081,1.92506931303,-0.549210327670516,1.81432997252459,0.691673108120322,-0.0619781394405898,-0.605951307899445,0.647796573824453,-0.0799928540496355,-2.88771187974657,-1.01982604097292,-0.387866886299901,0.31613039064498,-0.631752142534884,1.12134675382072,0.765579395389941,-0.535969840132224,0.0682833265247656,0.772665620378466,0.382819549915512,-0.115103214534617,1.03192023563078,-0.700346437704194,0.281004673468551,-1.03182152083535,0.619169339165143,-0.490771081770126,0.356124854477937,-0.736393662490983,-0.483893867619201,-0.293664396597197,-1.24496168086935,0.372934856094188,-0.524029648283169,0.475999325708371,-0.536540074693181,0.694972754230844,0.475456843731556,0.231608210483975,-0.0719021913764153,-0.336291759130056,-0.0248891108300011,-0.196745452060586,0.292518219433412,0.193130378967346,-0.621696116568169,0.25547946557174,0.132453640398071,-0.419692720556493,0.0620309132398226,-0.436989998449445,0.23376399298051,-0.106031380091652,0.127430798361292,0.205543009383602,-0.356551376615421,-0.184206478771169,-0.128014123891699,0.164913886719311,-0.0683694934251393,0.307491330493573,0.215311831515281,0.123810547432436,0.0387600841867093,0.133164474659273,-0.150952539673277,-0.315659947986437,0.026278622486643,0.064997831558867,-0.0891639581248478,-0.103959159437864,-0.153884602923923,0.0378091279379775,0.134183301652675,0.113016718679438,-0.174868367823853,-0.0627691457803228,0.0161359163538015,-0.229819163729462,0.231387516907842,-0.212675697920908,0.0172240035931632,0.193220520487349,0.346930646554067,-0.0190513788143204,0.0025492589119452,0.152018635944368,0.120285972557869,-0.00176264612189362,0.0893000352040265,0.137074604886756,0.151817752789023,-0.0322380411147862,0.0130497664850741,-0.178861167470233,0.169250356293097,-0.11243804847877,-0.117670334559274,0.00421790731659272,-0.131294858545326,0.02273077796333,0.0765513716916783,0.199315436904793,0.0493503175417081,0.0234025397241783,0.076417452090684,-0.0616547250689668,0.0125058912511246,0.127233730056241,-0.0218515210263264,-0.00855919259681238,0.0340892591662973,0.0162407560549014,-0.0863621836271169,-0.0236865985326076,0.0706262672451516,0.0249293707337118
"Aerospace Engineering and Operations Technicians","Engi",8.17792154110004,-1.38405333251032,-5.05931739459898,0.210818235164926,-0.679939654883789,1.18405474110833,-3.0075950286337,0.474556911834264,2.03596387086752,-0.74183015099748,0.926480695398847,-1.15140823712452,1.42140978287473,0.24984904843046,0.970068136200347,0.114966724585736,2.26137567609725,1.8489273309248,-0.614084323332033,-1.39880331691136,-0.0401199479096749,-0.899613798856428,-1.04302358932367,-0.0694349390139438,0.452450108497479,0.797060224991089,1.1367262373267,0.279172389180102,0.164351807054835,-0.513298333143959,0.594611781822875,-1.22122232817792,-0.016515499283073,-0.252279339145269,0.758427612242139,0.387387347813153,-0.892454567328452,-0.612436288971944,-0.132332765212509,-0.116107359035716,-0.828741540262958,0.188884144014316,0.618945004405573,-1.38092360184766,-0.398950477421622,0.162916041438685,0.518741907866035,-0.304969046653342,-0.409132048199651,-0.658316278736489,0.581958329382948,-0.555990260132296,0.572343033849352,-0.64675239609978,-0.110028237419832,0.178950804829839,0.20238812800947,-0.0235239589683273,0.109200126941288,0.10673165669844,0.225361882349414,0.104674180854253,-0.113196384514151,0.161336540734909,-0.289932970374642,-0.0899150714995377,0.190752199954186,-0.683183288047095,-0.296558780427506,0.245761330248848,0.461927461937068,0.0584000573662462,-0.395944240657161,0.180768088199093,0.366753161674081,0.101315439823009,-0.06558133929977,0.342204077701113,0.116217277157343,0.171849873187223,0.0434363599413168,0.043055149477498,-0.0233100286088413,0.0260685717727559,-0.141671811009625,0.0541621253597412,0.11763431034586,0.268175232261817,-0.0747476763795178,-0.00350375042418227,-0.0579043602270779,-0.00330153801555098,-0.00139595214387903,-0.00131853836634859,0.104492430795737,-0.00761124324977392,-0.122722029622854,0.0462611759527204,0.165719949199443,0.0725513644425003,-0.0120267333150631,-0.391197078921193,0.0685446028466903,0.146758523145421,-0.10592376715562,0.151342936444075,-0.00757402575317308,0.0393903643508323,0.16217524956127,0.205064955728395,0.100395128514514,0.166850873870075,-0.0826399203543701,0.034007832829477,-0.304609439347189,-0.0153988410395938,-0.0477976830230816,-0.0459698409948378,-0.0265176922606552,0.049603166909529
