occupation_name,matched_job_title,onetsoc_code
Actuaries,actuaries,15-2011.00
Acupuncturists,acupuncturists,29-1291.00
Adapted Physical Education Specialists,adapted physical education specialists,25-2059.01
"Administrative Law Judges, Adjudicators, and Hearing Officers","administrative law judges, adjudicators, and hearing officers",23-1021.00
Advanced Practice Psychiatric Nurses,advanced practice psychiatric nurses,29-1141.02
Advertising and Promotions Managers,advertising and promotions managers,11-2011.00
Advertising Sales Agents,advertising sales agents,41-3011.00
Aerospace Engineers,aerospace engineers,17-2011.00
"Agents and Business Managers of Artists, Performers, and Athletes","agents and business managers of artists, performers, and athletes",13-1011.00
Agricultural Engineers,agricultural engineers,17-2021.00
"Agricultural Sciences Teachers, Postsecondary","agricultural sciences teachers, postsecondary",25-1041.00
"Airline Pilots, Copilots, and Flight Engineers","airline pilots, copilots, and flight engineers",53-2011.00
Allergists and Immunologists,allergists and immunologists,29-1229.01
Anesthesiologist Assistants,anesthesiologist assistants,29-1071.01
Anesthesiologists,anesthesiologists,29-1211.00
Animal Scientists,animal scientists,19-1011.00
"Anthropology and Archeology Teachers, Postsecondary","anthropology and archeology teachers, postsecondary",25-1061.00
"Arbitrators, Mediators, and Conciliators","arbitrators, mediators, and conciliators",23-1022.00
"Architects, Except Landscape and Naval","architects, except landscape and naval",17-1011.00
Architectural and Engineering Managers,architectural and engineering managers,11-9041.00
"Architecture Teachers, Postsecondary","architecture teachers, postsecondary",25-1031.00
Archivists,archivists,25-4011.00
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","area, ethnic, and cultural studies teachers, postsecondary",25-1062.00
Art Directors,art directors,27-1011.00
Art Therapists,art therapists,29-1129.01
"Art, Drama, and Music Teachers, Postsecondary","art, drama, and music teachers, postsecondary",25-1121.00
Astronomers,astronomers,19-2011.00
Athletic Trainers,athletic trainers,29-9091.00
Atmospheric and Space Scientists,atmospheric and space scientists,19-2021.00
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051.00
Audiologists,audiologists,29-1181.00
Automotive Engineers,automotive engineers,17-2141.02
Biochemical Engineers,chemical engineers,17-2041.00
Biochemists and Biophysicists,biochemists and biophysicists,19-1021.00
Biofuels Production Managers,biofuels production managers,11-3051.03
Biofuels/Biodiesel Technology and Product Development Managers,biofuels/biodiesel technology and product development managers,11-9041.01
